"","usageKey","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","eventDate","recordedBy","image","institutionID","collection_id","sex","preservation","bodypart","localisation","order","family","genus","canonicalName","authorship"
"1","6942601","IT","Sicilia ","Trapani, Pantelleria Bagno dell'Acqua","36.81","11.98","2021-05-29","P. Audisio",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"2","6942601","IT","Sicilia ","Trapani, Pantelleria Cala 5 denti","36.81","12","1983-07-5/1983-07-24","P. Canestrelli",NA,"MVE",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"3","6942601","IT","Sicilia ","Trapani, Pantelleria Cala 5 denti","36.81","12","1983-07-18","E. Ratti",NA,"MVE",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"4","6942601","IT","Sicilia ","Pantelleria Island, Bivio Piano Ghirlanda","36.7","11.9","2019-06-17","M. Pavesi",NA,"coll. Poloni","4673b","","ethanol 96","whole body","MAB (Roma 3 University, Rome)","Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"5","6942601","IT","Sicilia ","Pantelleria Island, Bivio Piano Ghirlanda","36.7","11.9","2019-06-17","M. Pavesi",NA,"coll. Poloni","4673c","","ethanol 96","whole body","MAB (Roma 3 University, Rome)","Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"6","6942601","IT","Sicilia ","Pantelleria Island, Bivio Piano Ghirlanda","36.7","11.9","2019-06-17","M. Pavesi",NA,"coll. Poloni","4673d","","ethanol 96","whole body","MAB (Roma 3 University, Rome)","Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"7","6942601","IT","Sicilia ","Pantelleria Island, Bivio Piano Ghirlanda","36.7","11.9","2019-06-17","M. Pavesi",NA,"coll. Poloni","4673e","","ethanol 96","whole body","MAB (Roma 3 University, Rome)","Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"8","6942601","IT","Sicilia ","Pantelleria Island, Bivio Piano Ghirlanda","36.7","11.9","2019-06-17","M. Pavesi",NA,"coll. Poloni","4673f","","ethanol 96","whole body","MAB (Roma 3 University, Rome)","Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"9","6942601","IT","Sicilia ","Pantelleria Island, Bivio Piano Ghirlanda","36.7","11.9","2019-06-17","M. Pavesi",NA,"coll. Poloni","﻿4673a","","ethanol 96","whole body","MAB (Roma 3 University, Rome)","Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"10","6942601","IT","Sicilia ","Trapani, Pantelleria, Khattibuale","36.82","11.98","2019-06-17","M. Pavesi",NA,"coll. Poloni",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"11","6942601","IT","Sicilia ","Trapani, Pantelleria, Lago (= Specchio di Venere)","36.81","11.98","1983-07-05/1983-07-24","P. Canestrelli",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"12","6942601","IT","Sicilia ","Trapani, Pantelleria, Lago (= Specchio di Venere)","36.81","11.98","1983-07-05/1983-07-24","P. Canestrelli",NA,"MVE",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"13","6942601","IT","Sicilia ","Trapani, Pantelleria, Specchio di Venere","36.81","11.98","2019-06-17","M. Pavesi",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"14","6942601","IT","Sicilia ","Trapani, Pantelleria, Lago di Venere","36.81","11.98","2019-06-17","M. Pavesi",NA,"coll. Poloni",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"15","6942601","IT","Sicilia ","Trapani, Pantelleria, Tracino","36.79","12.04","1993-06-28","B. Massa",NA,"MZP",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma cossyrense","Bologna, 1995"
"16","9175253","PT","Madeira ","Madeira Island, Curral das Freiras","32.71","-16.96","","",NA,"Erber & Hinterseher (1988 as Oedemerella)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"17","9175253","PT","Madeira ","Madeira Island, Encumeada","32.75","-17.01","","",NA,"Erber & Hinterseher (1988 as Oedemerella)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"18","9175253","PT","Madeira ","Madeira Island, Madera boreali  ad Sanctam Annam  ","32.8","-16.88","","",NA,"Wollaston (1954)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"19","9175253","PT","Madeira ","Madeira Island, Pico Ruivo","32.75","-16.94","","",NA,"Erber & Hinterseher (1988 as Oedemerella)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"20","9175253","PT","Madeira ","Madeira Island, Raba√ßal ","32.75","-17.11","","",NA,"Erber & Hinterseher (1988 as Oedemerella)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"21","9175253","PT","Madeira ","Madeira Island, Raba√ßal, Levada Vinte e Cinco Fonte","32.75","-17.11","","",NA,"Erber & Hinterseher (1988 as Oedemerella)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
