"id","family","subfamily","tribe","genus","subgenus","species","subspecies","usage_key","det","typus","num_m","num_f","num_nosex","nation","region","location","altitude","lat","long","given_lat","given_long","date","collector","biog_reg","source","record_type","notes","collection_id","stage","preservation","localisation","tax_order","author_year"
3,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"cossyrense",NA,6942601,NA,"",NA,NA,NA,"Italy","Sicilia","Trapani, Pantelleria Bagno dell'Acqua","5",NA,NA,36.81,"11.98","29_05_2021","P. Audisio","palaearctic","MAB","specimen","","","","","","Coleoptera","Bologna, 1995"
5,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"cossyrense",NA,6942601,NA,"Paratypus",NA,NA,1,"Italy","Sicilia","Trapani, Pantelleria Cala 5 denti","10",NA,NA,36.81,"12","5-24_7_1983","P. Canestrelli","palaearctic","MVE (Bologna , 1984 as melitense; 1995)","specimen","Paratype","","","","","Coleoptera","Bologna, 1995"
6,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"cossyrense",NA,6942601,NA,"Paratypus",NA,NA,1,"Italy","Sicilia","Trapani, Pantelleria Cala 5 denti","10",NA,NA,36.81,"12","18_07_1983","E. Ratti","palaearctic","MVE (Bologna , 1984 as melitense; 1995)","specimen","Paratype","","","","","Coleoptera","Bologna, 1995"
7,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"cossyrense",NA,6942601,NA,"",NA,NA,NA,"Italy","Sicilia","Trapani, Pantelleria, Khattibuale","36",NA,NA,36.82,"11.98","17_06_2019","M. Pavesi","palaearctic","RP","specimen","","","","","","Coleoptera","Bologna, 1995"
8,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"cossyrense",NA,6942601,NA,"Paratypus",NA,NA,5,"Italy","Sicilia","Trapani, Pantelleria, Lago (= Specchio di Venere)","5",NA,NA,36.81,"11.98","5-24_7_1983","P. Canestrelli","palaearctic","MAB, MVE (Bologna , 1984 as melitense; 1995)","specimen","Paratypes 5","","","","","Coleoptera","Bologna, 1995"
10,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"cossyrense",NA,6942601,NA,"",NA,NA,NA,"Italy","Sicilia","Trapani, Pantelleria, Specchio di Venere","5",NA,NA,36.81,"11.98","17_06_2019","M. Pavesi","palaearctic","RP","specimen","","","","","","Coleoptera","Bologna, 1995"
11,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"cossyrense",NA,6942601,NA,"Holotypus",NA,NA,1,"Italy","Sicilia","Trapani, Pantelleria, Tráçino","",NA,NA,36.79,"12.04","28_06_1993","B. Massa","palaearctic","MAB, MZP,  (Bologna, 1995)","specimen","Holotype, on Ammi majus ","","","","","Coleoptera","Bologna, 1995"
15,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"lowei",NA,9175253,NA,"",NA,NA,NA,"Portugal","Madeira","Madeira Island, Curral das Freiras, 600-800 m ","",NA,NA,32.71,"-16.96","","","palaearctic","Erber & Hinterseher (1988 as Oedemerella)","specimen","","","","","","Coleoptera","(Wollaston, 1854)"
16,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"lowei",NA,9175253,NA,"",NA,NA,NA,"Portugal","Madeira","Madeira Island, Encumeada, 1000 m ","",NA,NA,32.75,"-17.01","","","palaearctic","Erber & Hinterseher (1988 as Oedemerella)","specimen","","","","","","Coleoptera","(Wollaston, 1854)"
17,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"lowei",NA,9175253,NA,"",NA,NA,NA,"Portugal","Madeira","Madeira Island, from Achada do Gramacho to Ribeira de São Jorge ","87-148",NA,NA,32.82,"-16.9","30_06_2021","A. Franquino-Aguilar","palaearctic","MAB","specimen","on Aeonium glutinosum","","","","","Coleoptera","(Wollaston, 1854)"
19,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"lowei",NA,9175253,NA,"",NA,NA,NA,"Portugal","Madeira","Madeira Island, Levada da Raposeira, Fajã da Ovelha ","648",NA,NA,32.76,"-17.21","22_07_2021","A. Franquino-Aguilar","palaearctic","MAB","specimen","","","","","","Coleoptera","(Wollaston, 1854)"
21,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"lowei",NA,9175253,NA,"",NA,NA,NA,"Portugal","Madeira","Madeira Island, Madera boreali  ad Sanctam Annam  ","",NA,NA,32.8,"-16.88","","","palaearctic","Wollaston (1954)","specimen","","","","","","Coleoptera","(Wollaston, 1854)"
