id,family,subfamily,tribe,genus,subgenus,species,subspecies,usage_key,det,typus,num_m,num_f,num_nosex,nation,region,location,altitude,lat,long,given_lat,given_long,date,collector,biog_reg,source,record_type,notes,collection_id,stage,preservation,localisation,tax_order,author_year
1,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,,,,,Italy,Sicilia,"Trapani, Pantelleria",,,,NA,NA,,,palaearctic,Kubisz  & Iwan  (2020),specimen,,,,,,Coleoptera,"Bologna, 1995"
2,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,,,,4,Italy,Sicilia,"Trapani, Pantelleria",,,,NA,NA,28_05_1994,F. Lo Valvo,palaearctic,MAB; Bologna (1995),specimen,4,,,,,Coleoptera,"Bologna, 1995"
3,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,,,,,Italy,Sicilia,"Trapani, Pantelleria Bagno dell'Acqua",5,,,36.81,11.98,29_05_2021,P. Audisio,palaearctic,MAB,specimen,,,,,,Coleoptera,"Bologna, 1995"
4,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,,,,,Italy,Sicilia,"Trapani, Pantelleria Bivio P. Ghirlanda",,,,NA,NA,17_06_2019,M. Pavesi,palaearctic,RP,specimen,,,,,,Coleoptera,"Bologna, 1995"
5,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,Paratypus,,,1,Italy,Sicilia,"Trapani, Pantelleria Cala 5 denti",10,,,36.81,12,5-24_7_1983,P. Canestrelli,palaearctic,"MVE (Bologna , 1984 as melitense; 1995)",specimen,Paratype,,,,,Coleoptera,"Bologna, 1995"
6,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,Paratypus,,,1,Italy,Sicilia,"Trapani, Pantelleria Cala 5 denti",10,,,36.81,12,18_07_1983,E. Ratti,palaearctic,"MVE (Bologna , 1984 as melitense; 1995)",specimen,Paratype,,,,,Coleoptera,"Bologna, 1995"
7,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,,,,,Italy,Sicilia,"Trapani, Pantelleria, Khattibuale",36,,,36.82,11.98,17_06_2019,M. Pavesi,palaearctic,RP,specimen,,,,,,Coleoptera,"Bologna, 1995"
8,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,Paratypus,,,5,Italy,Sicilia,"Trapani, Pantelleria, Lago (= Specchio di Venere)",5,,,36.81,11.98,5-24_7_1983,P. Canestrelli,palaearctic,"MAB, MVE (Bologna , 1984 as melitense; 1995)",specimen,Paratypes 5,,,,,Coleoptera,"Bologna, 1995"
9,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,,,,,Italy,Sicilia,"Trapani, Pantelleria, Piano Ghirlanda",,,,NA,NA,17_06_2019,M. Pavesi,palaearctic,RP,specimen,,,,,,Coleoptera,"Bologna, 1995"
10,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,,,,,Italy,Sicilia,"Trapani, Pantelleria, Specchio di Venere",5,,,36.81,11.98,17_06_2019,M. Pavesi,palaearctic,RP,specimen,,,,,,Coleoptera,"Bologna, 1995"
11,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,6942601,,Holotypus,,,1,Italy,Sicilia,"Trapani, Pantelleria, Tráçino",,,,36.79,12.04,28_06_1993,B. Massa,palaearctic,"MAB, MZP,  (Bologna, 1995)",specimen,"Holotype, on Ammi majus ",,,,,Coleoptera,"Bologna, 1995"
12,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,Madeira Island,,,,NA,NA,,,palaearctic,"Wollaston (1861, 1865), Svhila (1985),  Svhila (1988), Bologna (1995), Borges et al. (2008), Kubisz  & Iwan  (2020)",specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
